评论,正向指数,负向指数,情感分类
"('诶，很多视频失效了，，，',)","('6.38%',)","('93.62%',)",负向
"('无妨菩萨是船师菌生香案正当衙包公一断鬼神惊你我同行笑连声妈妈情比天还大死生无可无不可了却君王天下事',)","('4.986%',)","('95.013%',)",负向
"('明明就是故意伤人，在家庭和学校教育中戴上了看似合理的帽子，变成了所谓“家暴”、“体罚”。什么时候才能意识到暴力不是教育的最好方式。有不良行为的孩子绝对与监护人失败的教育有关，孩子做错了的同时监护人也有错。',)","('0.002%',)","('99.998%',)",负向
"('我刚刚在基维百科里面看到了‘’中华人民共和国虐待儿童事件”我一点开，第一个是杨永信，第二个是浙江温岭虐童事件，第三个是豫章书院。真是丢了全中国的脸!',)","('0.209%',)","('99.791%',)",负向
"('现在这个社会怎么了，有苦无处诉，这真的是欣欣向荣的中国所能容忍的？',)","('1.502%',)","('98.498%',)",负向
"('希望扫黑除恶真正达到让人民放心，让恶势力闻风丧胆。努力。',)","('45.694%',)","('54.306%',)",负向
"('虽然我不清楚网瘾学校，但是我很同情和惋惜家长不管孩子，孩子不是你生下来的附属物，不是没有感情的',)","('0.496%',)","('99.504%',)",负向
"('所以家长请理解他们，',)","('13.141%',)","('86.859%',)",负向
"('可是现实中还有很多这样的戒网瘾学校啊，我在成都，17年暑假在一个学校呆了两个月，开学后又被送去另一个学校呆了半年，一年前已经在b站上详细讲过这些事，所以现在就不多说了，让那些痛苦慢慢遗忘就好。',)","('94.619%',)","('5.381%',)",负向
"('我就是被送到了类似这种机构名字叫武汉新长征学校（现已被停办）15年被送去的当时刚好是我6年级马上要毕业的时候，在哪里很痛苦很难受每天都很想家，每天假装很高兴在教官老师的面前是言听计从，我本来在家的时候比较活泼的但是在那里我变了，变得不敢说话不敢与人交流渐渐的习惯了但也变得孤独了，一说话就停不下来被人说是话唠，回来之后学习进度完全跟不上，而且原来的同学变成了自己的学长遇到了心里多多少少有点难受变得更不想上学。',)","('7.797%',)","('92.203%',)",负向
"('后来退学了然后就又被骗到了河南的嵩山少林寺武术学院练了一年，现在17岁了也没办法工作只能在家里，每次跟父母说那些学校不好，说你们不要再信那些机构的时候他们却完全不听，还说要不是你有网瘾我们会把你送过去？这样的话，我现在只能等到18岁出去学技术找工作来养活自己了。',)","('0.005%',)","('99.995%',)",负向
"('回复 @戴墨镜的瞌睡虫 :确定要放弃读书了吗？但是不要放弃自己啊！！你的经历跟照常读书的普通人是不一样的，但是也有照常读书的高考没考上去也会再二战三战，甚至以后考研也会也会面对要不要放弃出去工作的算了的想法，有些他们放弃了，有些没有。所以不要钻牛角尖，人能放弃了读书但是不能放弃学习，去学个手艺也是学习，去学什么都是学习，放弃学习才是放弃自己不改变。我有个代课老师他高中学习成绩特别好，但是他家贫单亲母亲还打麻将欠钱，所以他只能工作了，攒了几年还是选择读个大专考文凭。他说，忍着别人异样眼光读书的人真的不容易。虽然我不太认同选择再读书对就业真的有好处，因为你有文凭但是别人也能因为年龄不要你，还是要靠自己让别人需要。（老师是香港的，学习经历应该跟内地有差入）但是一生脚踏实地过不杀人不放火就值得了（我爸说的），想办法过得安稳是人一生的目的和努力。你真的还年轻。（还有那老师跟她妈还是住一起，没办法家人嘛，他这么说。应该恨过，但没办法。）',)","('50.503%',)","('49.497%',)",负向
"('回复 @米和来di麻麻 :是啊，初衷是为了层主好，可是！为什么他们不可以多相信层主一点呢？为什么要让层主有这样的遭遇呐？不是父母的问题嘛？为什么不多看看，多了解一下学校，再决定要不要把子女送去呢？为什么这些父母这么不负责？',)","('0.054%',)","('99.946%',)",负向
"('虽然这件事是发生在很久之前了，但是最近回到自己的收藏里，看了一看，然后我再跟进下最近的报道，我才发现那个WJW仍然没有被抓进监狱，或者是得到他应有的惩罚，而且利用现在的扫黑除恶的机制，就是网上的那种方式已经去再次报告过了，虽然只是网上的表，但是我觉得应该也是有一定的用处的，毕竟扫黑除恶，现在查的很严。确实不知道他的保护伞是谁?或者是他的辩解是什么?但回顾几年前的视频，我还是不忍了...哽咽了，真的，志愿者们一开始没被爆出来，我觉得是保护他们的行为，真的很好，保护了这些没有太多势力的小小的志愿者，我觉得这真的是做的特别好，但是在这些事情已经过去那么久之后，看似表面风平浪静，其实那些人还是在暗中跟进中，他们企图用自己的势力和一些的金钱去打击这些志愿者们。很不幸，因为他们这件事情居然成功了,但也在意料之中，毕竟这些志愿者们，他们没有权、没有势，他们有的只是自己的一些努力，不像XJ报和别的一.些栏目和报导者有大量的社会的舆论关注和社会地位。所以为了发泄他们自己的愤怒，他们决定从没有关注的志愿者开始下手，他们不仅用了写恐吓信，报复志愿者家人等行为从心理和身体上去是他们崩溃( 还有另外一些帮过忙的志愿者，包括是以前举报线索说过的那个周同学都被他们进行了各种骚扰，恐吓威胁的那种不正当方面的事情)，但是最不能让我忍受的是他们逼死了志愿者，包括当时帮忙的特别多的一个志愿者叫zm的一个学生（但后来证实这位同学是自杀未遂，我不敢相信这世界有多么恐怖的事情，这种事情如果发生在我的身上的话，我完全完全是不可能接受的了的，虽然我的微博里可能一个人都没有，但是我想写出来，因为发在qq，或者是微信朋友圈里的话，都会让人觉得是太过于绝对了吧?就是可能别人会觉得你响呃... (这种事情过了那么久，你还要去想，那是你的想太多了)，就是可能会引起别人的反感，会让人觉得我是-一个愤青，或者是一个盲目报道的人。那我就觉得在一个别人看不到的地方， 我自己写的，我写下来了，至少可以发发出我内心的那种呐喊，也可以让我发泄出自己的情绪吧...',)","('31.982%',)","('68.018%',)",负向
"('吴军豹现在死了吗 有谁能告诉我这个喜讯',)","('1.154%',)","('98.846%',)",负向
"('更重要的，视频中也表达了，救更多类似的不为人知的学生',)","('98.932%',)","('1.068%',)",负向
"('死了不死已经没关系，死了还不如让他跪在视频前磕头，但是这一切已经晚了，最重要的就是让他得到应有的惩罚，让他在全国面前，得到应有的惩罚（指参与整个事的人），也许，这样可以稍微弥补受害学生的内心吧。',)","('0.1%',)","('99.9%',)",负向
"('有2020年的吗？希望还能将这个接力撑下去[打call]',)","('86.005%',)","('13.995%',)",负向
"('假如有一天，吴军豹老了，走不动了，在屋子里怀念着青春年华时，突然一群大汉闯了进来，把它架起来，它的儿子手里拿着一张像是合同的东西，含着泪签了字。然后它就被送进了“豫章养老院”在这里，它每天要背三千字的育儿经，背错一个字就用榔头敲一下大腿。它的三餐分别只有一个核桃，这是为了平衡膳食，它每次大小便失禁，拉出来 的 屎，尿 都让你喝下去，说着这是为了治疗它的糖尿病。有一天，豫章养老院被媒体曝光了，它的儿女却早已成为他们的走狗，为书院辟谣，。真到了那时候，你不要怨，这是爱！（转）',)","('14.069%',)","('85.931%',)",负向
"('我希望明年可以推出豫章老人院[微笑][微笑][微笑]',)","('99.876%',)","('0.124%',)",负向
"('这个时候就需要肖战粉了',)","('52.391%',)","('47.609%',)",负向
"('骂肖战粉丝，买热搜',)","('22.709%',)","('77.291%',)",负向
"('我想弄个豫章官方号，在微博',)","('66.916%',)","('33.084%',)",负向
"('回复 @请不要摸 :[热词系列_知识增加]懂了懂了',)","('23.447%',)","('76.553%',)",负向
"('警察呢？！！干嘛去了？！！！！！中国那么美好，怎么还要有这种阴暗？！！！！！！救救他们吧！！！！！！！我手都在抖，我能做些什么？[大哭][大哭][大哭][大哭][大哭][大哭]那些保护人民的军人国家领导们，看看这些吧！！！！',)","('0.021%',)","('99.979%',)",负向
"('这就是社会的阴暗面，但是我希望中国不会有这种阴暗面',)","('5.174%',)","('94.826%',)",负向
"('如果我是那里的学生，我一定会把里面所有人都杀光。这不是心理变态，而是那些狗太不是东西。',)","('0.104%',)","('99.896%',)",负向
"('高中生',)","('39.033%',)","('60.967%',)",负向
"('家长总是打着“天下无不是的父母”“你是我身上的肉”“为了你好”的名声，却永远不会相信孩子也不会觉得自己的错是自己导致的，以前我妈半开玩笑的说着要不要把我送去豫章书院，我据理力争，最后的回答只是一句简单的“那为什么不倒闭”，如果你的父母愚昧到这么说的话，你可以回答“因为所有家长都这么想”小时候听过一个故事，有一个喜欢噪音的王子，他的生日愿望要所有人同时发出噪音，结果没有一个人发声，他们都在等唯一一个愿意付出的人。家长们何不是如此？如果有一个，哪怕有一个没有从众心理，这种连监狱都不如的地方早就倒闭了 。',)","('0.023%',)","('99.977%',)",负向
"('去年豫章书院还是个考点，我还在里面考了两天的试[囧][囧][囧]',)","('40.764%',)","('59.236%',)",负向
"('？确认存活？[热词系列_危]',)","('0.011%',)","('99.989%',)",负向
"('希望终有一天，给他们应有的惩罚!',)","('52.371%',)","('47.629%',)",负向
"('请大佬们牵头成立一个青年组织 ，光发举报视频，口头宣传，做的再精致也没用。五四运动为什么能成功，靠的是刺激政府被迫做出反应，这次事件也是如此。方法不对，再感人也没用，请有能力的大佬成立一个线上线下的组织罢，别再消极抵抗了。',)","('0.0%',)","('100.0%',)",负向
"('所以说，几年前的我进去可能也只是一个受害者但现在我这个脾气进去，那就是只能活一个，要么把施暴者全部一波干掉，要么，被当场打死没第二个可能有时候得让他们知道，求生的人很多，但是也有求死的。',)","('0.009%',)","('99.991%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('我小时候在那个有个所谓的午托班，也被那边老师虐待过，跟家长说了，家长又不信，那边的人都是表面一套，背里面有一套，很能理解这种绝望的感觉，现在想想还有点害怕，还好，当时我就带了数把月就出来了，那件事就结束了。我想说的是网络暴力可怕吧？那就用网络暴力去击垮这种事，用魔法打败魔法，用邪恶对抗邪恶[加油]',)","('0.876%',)","('99.124%',)",负向
"('结果还真把大事件熬死了这玩意儿还在',)","('0.033%',)","('99.967%',)",负向
"('历史不可以被原谅，他也不可以被原谅，他要一辈子钉在历史的耻辱柱上[阴险][阴险][阴险][阴险]',)","('0.181%',)","('99.819%',)",负向
"('父母没错吗？他们父母也很智障啊',)","('0.09%',)","('99.91%',)",负向
"('时隔半年，视频又出现在首页，说明，你们的努力，还是有用的',)","('77.418%',)","('22.582%',)",负向
"('正义，就tm的会迟到。我们坚持正义的英雄们，总tm的会遭受这些。不知道为什么，突然很恨这个社会了。',)","('1.239%',)","('98.761%',)",负向
"('很感概啊。很早以前看的豫章书院的新闻。原以为已经都伏法了。现在都忘的差不多了。但是现在又看见up。[跪了]。但是我依然觉得，就像你引用的电影那样，我们一路奋战，不是为了改变世界而是不被这个世界改变[拥抱][拥抱][拥抱]',)","('99.996%',)","('0.004%',)",负向
"('这个事件一路关注了几年，现在是2020年四月五号。让我心惊胆战的是，直到今天，这个事件还没结束。百思不得其解的是，吴军豹名下的在注册公司依然安然无恙。仔细想想后颈发凉的是，支持吴军豹平安度日的，到底是什么。',)","('0.482%',)","('99.518%',)",负向
"('迟到的声援，加油',)","('99.771%',)","('0.229%',)",负向
"('微博和百度就是二流媒体',)","('99.006%',)","('0.994%',)",负向
"('这是我网友的真实经历（大家不要喷）:看到这种学校的相关视频.我想把我曾经经历的也说出来.我没那么大的文采我只能把我曾经经历过的事情曝光出来.河南郑州市下属的登封市开办了无数的少林武校（塔沟.小龙武院等等）我曾经被父母送去其中的某武校.里面也是全军事化管理.我从离开那个地方已经两三年了.我只能把我曾经亲眼所见的叙述出来.学校里面体罚学生是以“开棍”进行的.就是用木棍抽大腿根.如果教练打的狠会还会在大腿根用抽棍的方式.就是打下去以后在大腿根上一拉.火辣辣的疼.学校里面也是禁止逃跑的.抓到就打.曾经我们班里有外号个叫“大个儿”的学生.被关在寝室里暴打.当时教练让我们进去收拾屋子的时候.满地的木棍渣和血.很多打人的时候会让全班站着看.有次在一个学生被殴打的时候我曾对一个学生说过我想逃跑的念头.第二天被班里的某教练眼线捅到了教练那里.我也被“开棍”了.当时打完之后我的大腿根整个都是紫黑色.跟视频里的那张图片一模一样.然后在寝室里躺了两周.还有最惨的因为逃跑被抓的学生被打的整个大腿都是黑色.教练对我们学生的人心抓的很准.他知道那些人极端哪些人怂（例如我）那些极端的学生被打完之后会被四肢绑在床上.让其他学生送饭.教练会肆无忌惮的收礼.每次家长来了都会送烟送钱.我第一学期因为爸妈没送钱被管的很惨.教练是不允许私自带零花钱的（因为有零花卡.一周三十家长存钱学校每周往卡里打）.学校里的饭很难吃.而且里面的肉在开饭前教练会让学生把肉挑走.吃饭的时候可以看到教练的碗里满满一盆肉.更有甚者专门用一个碗放肉.学校平时的武术训练很重.一天六7节课一节一小时.家长往零花卡里打钱后.学生一般都会自己再要钱.教练会问然后让家长把钱存他那里.我爸陆陆续续存了一万多.最后我只拿了可能五千不到.剩下的就被教练贪了.因为取钱都看教练心情.心情不好不给你.手机也会被教练收走.我们教练很严.心情好一周一发.一有什么事就收回去.后面第二年为了过的好点我怂恿了我爸贿赂教练.其实我说的不痛不痒的可能.但是里面的教练打人比起这个豫章书院只会更狠更疼.里面的低级教练少说都是练过6七年的.我后面还因为跟另一个班的学生起冲突然后被他们教练暴打.掉了一颗牙.但是因为我们教练官比那个教练大.打我的教练就带我出去补了牙然后送了些牛奶之类的东西.从那次开始我就下定决心要走了.还有很多.',)","('4.766%',)","('95.234%',)",负向
"('你这样的天使，我tm见一个爱一个！[doge]',)","('58.971%',)","('41.029%',)",负向
"('真的气死了，现在有很多人都在抹黑温柔，说蹭热度，，我????',)","('0.076%',)","('99.924%',)",负向
"('顶',)","('99.913%',)","('0.088%',)",负向
"('说一下我个人的真实经历。我今年十五岁。14岁与母亲的矛盾逐渐激化，几乎是每天都要吵一次架。她的控制欲很强，而我不希望她管我那么多。后来那年暑假，她说把我送去一个学堂学习“国学”，学习“中华优秀传统文化”，也加上我确实觉得我们两个人要分开一段时间，互相冷静一下，于是我就同意了。到那里的第一天，老师单独跟我聊天，中途说了一句话（因为这些事我不希望回想起来，选择性遗忘了一部分），好像是叫我乖乖听话最好不要让他生气。我当时也没意识到什么。谁知到那第一天手机就被没收了，不允许跟外界有来往。每天五点起床，坐在小小的教室里读古书，从早上六七点开始读，中午休息下午继续读，一直读到天黑。那里面的老师普通话不标准还有浓重的口音，而且只要你不专心就会挨戒尺打手。里面的学生都比我小，大部分都不到十岁。睡觉的时候不能讲话，阿姨们会来检查，看见谁不睡觉就打骂。这样的日子没几天，有一次我走神了，就被老师罚站打手，后来肚子不舒服就坐了下来（因为在我上初中的时候老师说站起来的同学确定自己不会打瞌睡就可以坐下），我刚坐下来没多久老师就过来骂我，还要再打我，我当时就觉得这他妈什么人啊怎么这么不讲道理，就气哄哄的说身体不舒服，说完我就想回屋子，走到半路这里的算是学堂创始人的一个人就过来骂我，问我去哪里，狠狠地踹了我几脚，我当时就委屈的哭了。回到屋子里的时候还能听见一个女老师在隔壁骂我不听老师的话、不知廉耻、想要逃跑什么的，后来实在待不下去，跟住在一个屋子里面的人商量了一下，自己一个人偷偷跑走了。当时我跟她讲这些话的时候，下铺有个看起来六七岁的小姑娘用惊恐的眼神偷偷瞄我，现在想起来还觉得心很痛。打出这些字的时候，无疑我的心情是很复杂的，说出旧事的耻辱、怕被报复的恐慌（我现在连学堂在哪都不敢说我真的很怕被报复，因为曾经被那个人威胁过）、经历过这件事的痛苦难过 充斥着我的心头。可我经历过的这些又有什么用，说出来没一个人肯体谅我甚至没有人相信我，我的母亲至今都怪罪我祸害了那么好的学堂，怪罪我浪费了她送我去那个学堂的钱。为了保护自己，我选择性遗忘了这件事，但是再想起仍是历历在目，至今都在治疗这件事带给我的伤害。我自卑、懦弱、没安全感，还是个会被母亲骂“你真是个垃圾”的人。',)","('10.747%',)","('89.253%',)",负向
"('保护好自己，愿你被世界温柔以待。',)","('99.475%',)","('0.525%',)",负向
"('我不乞求同情或者安慰，那没有用，我已经经历了 。恶魔离我们不远，甚至就在我们身边。我能说的只有，保护好你自己，不要让自己被欺骗被伤害。',)","('0.052%',)","('99.948%',)",负向
"('我不祈求同情与安慰，因为没有什么用，我已经经历了这件事。再亲近的人比如母亲都会伤害我到体无完肤。恶魔离我们们不远，甚至就在我们身边。我能说的只有，保护好自己，不要让自己被欺骗被伤害',)","('0.13%',)","('99.87%',)",负向
"('2020了。我们始终没忘记',)","('34.434%',)","('65.566%',)",负向
"('今天看豫章书院激动了半天，结果发现好像是去年的事了，有点尴尬。。[无语][无语][无语]',)","('2.158%',)","('97.842%',)",负向
"('虽然是去年的事，但是现在还在，我们尽量出一份力吧',)","('95.201%',)","('4.799%',)",负向
"('AV582517870还在呢。。。',)","('17.852%',)","('82.148%',)",负向
"('各位请注意:现在豫章书院已经更名为堂渊文文化公司，毕竟法人都是吴君豹，虽然改了名字，但是这个公司本质上还是和豫章书院是一样的，希望大家能扩散开让更多人知道！(另外关于豫章书院志愿者的被威胁情况，希望大家能够给予帮助，不让这件事的热度流失得太快。愿世间所有善良都能被温柔以待，望世间所有等待皆能够如期而至。）转发的转！',)","('72.124%',)","('27.876%',)",负向
"('这种视频我不看内容都见一个赞一个',)","('99.873%',)","('0.127%',)",负向
"('“假如一间铁屋子，是绝无窗户而万难破毁的，里面有许多熟睡的人们，不久都要闷死了，然而是从昏睡入死灭，并不感到就死的悲哀。现在你大嚷起来，惊起较为清醒的几个人，使这不幸的少数者来受无可挽救的临终的苦楚，你倒以为对得起他们么？”\u3000\u3000“然而几个人既然起来，你不能说决没有毁坏这铁屋子的希望。”——鲁迅',)","('0.06%',)","('99.94%',)",负向
"('各位请注意:现在豫章书院已经更名为堂渊文文化公司，毕竟法人都是吴君豹，虽然改了名字，但是这个公司本质上还是和豫章书院是一样的，希望大家能扩散开让更多人知道！(另外关于豫章书院志愿者的被威胁情况，希望大家能够给予帮助，不让这件事的热度流失得太快。愿世间所有善良都能被温柔以待，望世间所有等待皆能够如期而至。）各位请注意:现在豫章书院已经更名为堂渊文文化公司，毕竟法人都是吴君豹，虽然改了名字，但是这个公司本质上还是和豫章书院是一样的，希望大家能扩散开让更多人知道！(另外关于豫章书院志愿者的被威胁情况，希望大家能够给予帮助，不让这件事的热度流失得太快。愿世间所有善良都能被温柔以待，望世间所有等待皆能够如期而至。）（复制粘贴）',)","('38.005%',)","('61.995%',)",负向
"('知乎上有一个用户说：因为2017年之后的豫章书院本来就没有违法行为了啊，没有违法行为，卧底的志愿者要是能得出证据，那才有鬼呢。魏家夫这种没有热点自己亲自下场编故事也要蹭热点的人血馒头大V说的话，也就学生乎的学生会信。附：恰烂钱翻车现场。                       （这是知乎上＂豫章书院事件为何没证据能证明吴等人的违法行为？也没志愿者卧底去搜集证据。温柔等人的话是否属实？”问题的回答）[tv_发怒][tv_发怒][tv_发怒]',)","('0.031%',)","('99.969%',)",负向
"('证据不足，证据不足，为什么总证据不足?唉 我就是个小人物，祝你们加油吧！',)","('0.442%',)","('99.558%',)",负向
"('豫章书院的热度正在消退，我们要把热度接力下去，加油！10多月的时候，我也关注了这件事，我深深同情受害者，也希望这样的的非法办学不再出现。我希望我也可以贡献一份力，我的父母这么说，“这些消息官方都没有官宣，我们都不知道，不要相信这些，你现在要做的就是好好学习”。那时候我觉得我不认识他们了，但是我相信，我一定是对的。我相信为正义发声没有错！温柔加油，我们必胜！',)","('97.967%',)","('2.033%',)",负向
"('那些说你父母送你进去还不是你自身有问题的，你父母你身边的大人难道就没有整天手机不离手，每天熬夜大游戏打麻将的大人？他们不还好好的吗？大人可以随心所欲却寄希望与那些学校来帮助他们一劳永逸。',)","('7.985%',)","('92.015%',)",负向
"('加油！总有一天要让阴沟里的老鼠无路可逃。',)","('58.852%',)","('41.148%',)",负向
"('up，千万不要认为自己仅仅是个小人物，现实生活中大部分的英雄都是出自小人物 加油[加油]',)","('99.993%',)","('0.007%',)",负向
"('加油！！！',)","('99.988%',)","('0.012%',)",负向
"('加油加油！！',)","('99.997%',)","('0.003%',)",负向
"('谢谢你们，加油，永远挺你，我们还在你身边，你不是一个人',)","('99.685%',)","('0.315%',)",负向
"('对受害者唯一的保护就是热度，所以看到几次类似的视频都要顶起来。这件事情难就难在家长也是施害者，在美国你可以报警把家长关起来坐牢，但在中国不行。所以现在的小孩子要识趣，认清你父母是哪类人，全国没被发现的类似机构多了去了，生意更是火爆。你疯狂任性让父母心寒的那一刻，很可能你的门票就到了。我不是说教育谁，我是想说在中国父母教育方面的施害别人是没有资格插手的、回到家的受害者也不一定会被父母善待甚至再找下家。除了家长脑子的缺陷，这纯粹就是父母与子女信任的崩塌，是无数个失望造就的。人心冷起来的时候有多狠我不希望再有人去体会。',)","('0.014%',)","('99.986%',)",负向
"('豫章书院的热度基本已经没了，这倒也不是什么新鲜事，鲁迅说中国人没有记性，确实如此。作为利益相关者，最起码作为一个有人性的人，我们不能看着这种荒唐的事情在中国堂而皇之地存在。如果豫章书院度过这次风波，这群畜生的魔爪迟早有一天会伸向我们身边',)","('0.005%',)","('99.995%',)",负向
"('我希望有一天我们80，90，00长大了，也到了掌握这个世界的时候，不要成为我们曾经最讨厌的人，我们不再是学生，我们可以用我们的力量打到曾经压迫我们不得不跪下的人',)","('93.987%',)","('6.013%',)",负向
"('豫章书院还是没有杨永信聪明，杨永信是电疗，在法律上是合法的，顶多算个非法监禁，当事人的父母还同意了。而豫章书院是体罚，虐待未成年人，直接违法。所以杨永信是真聪明，可惜不是人。',)","('0.058%',)","('99.942%',)",负向
"('可也没进监狱，到底怎么样了也没个结果。估计现在也该吃吃该睡睡。',)","('0.179%',)","('99.821%',)",负向
"('家庭不幸的孩子都很强大，很少会进这样的学校家庭幸福的孩子，大多有无能和无知的父母，落到恶魔的手中，为人父母不需要考资格证，但这s      b辣鸡学校负主责吧？怎么有人认为主要是父母搞出来的呢?什么没有需求没有市场?你学校不宣传，哪个父母要花钱?一顿打就是了。。。。。',)","('0.073%',)","('99.927%',)",负向
"('加油 以前非常关注豫章书院 以为社会完全不管这件事情 只是得到了相应都扼制 但是还是有人在暗中搞这些 我就不知道怎么办了 想着社会好黑暗 但是从来没有想到当时还有你们这批英雄们 在承受着这么多痛苦 你们是大家的骄傲 希望你们可以摆好心态  我们这些平凡人也会力所能及的帮助大家 害',)","('1.304%',)","('98.696%',)",负向
"('求求你们来蹭热度吧！“豫章书院”事件需要更多人关注!两年前，豫章书院就被曝光过，本以为这种见光死的东西应该会得到正义的审判，但并没有，他们换了张皮继续为非作歹!因为热度散去，没人关注他们了，所以他们逃过一劫。但这次不会了，让我们一起守护热度的火苗!在恶魔得到审判前热度千万不能掉下去!在其他平台都在压热度，限流，控评的时候，我很庆幸还有B站可以发声。不光相信，还要声援!这一次发出声音，你也能成为光。因为曝光豫章书院，我朋友被逼到自杀av73372900当事人告诉你豫章书院完整始末av73836578吴军豹到受害者家里挑衅2019六月份av69666407微博网友小剑暗访豫章书院2017年av15927422两年前的豫章书院恐怖恶行还记得么av73431494夜探豫章书院2019年av73889593如果书院没出事家长还会把孩子送进去2017年av73682949无法告别的临沂网戒中心av8477483杨永信电人实录av42492211细数杨永信的三十一条罪行av7410837豫章书院还在继续运营！依然是戒网瘾学校！av73677520【豫章书院】学生自杀甚至都不理 他们到底干过什么？av73550769类似豫章书院戒网中心发生的真实残酷案例av73951033暴走大事件av73954223当事人采访av73784961(上）av73789407(下）合肥戒网瘾致死事件av51543389 爱奇艺 00后对豫章书院的观点av74139836现在豫章书院已经转移到：南昌龙悔心理教育专修学校。毕竟法人都是吴君豹。虽然改了名字，但是这个学校本质上还是和豫章书院是一样的，希望大家能扩散开让更多人知道！关注中国长安网，这是中央政法委在b站的号，目前相关部门已经介入，你可以去看看他的动态。此外，涉事学校名称应为“豫章书院修身教育专修学校”，非古书院“豫章书院”，请网友不要弄混。距离全国两会也不远了，大家有空来写一封信吧，让国家重视这类事件。多一封留言，国家就多一份关注！http://www.gov.cn/hudong/xzlwh.htm(速转！)',)","('4.799%',)","('95.201%',)",负向
"('暴走大事件果然没了。',)","('1.222%',)","('98.778%',)",负向
"('2020年，我依旧在关注',)","('99.947%',)","('0.053%',)",负向
"('如果发布你们的名字，不怕被报复吗？',)","('0.06%',)","('99.94%',)",负向
"('以前在B站看到过直到豫章书院名字的视频 ，但是我从未打开过。直到今天我看了系列的视频之后，才发现这背后竟然隐藏着这么多的事情。感谢那些为了寻求光明而一直做出自己努力的温柔君们，虽然你们的力量是微小的，但是至少多一人看到这件事情，那么至少有一人在未来会免受伤害。同时也感谢为这件事情做出无限努力的志愿者们，是你们让世界多了一份光明，少了一分阴霾。你们为了这件事情付出了太多，承受了太多不该承受的。感谢你们的付出。同时我也从未有一刻庆幸我一直使用着B站。谢谢B站一直以来的支持。我能做的很少，那就一直使用B站，并将它推广给周围的小伙伴。正义也许会来迟，但终究会来的。',)","('99.901%',)","('0.099%',)",负向
"('给大家再曝光一个非法监禁学生，对学生进行人身侮辱，殴打，体罚学生的流氓学校，可是无奈他们有当地政府为他们撑腰，我也其中受害者之一，你们很难想象一个人待在一个地方半年不出去会有多自闭。我的家人属于那种容易跟风的人，看见别人把孩子也送去了，就把我也送去了，他们甚至对这所学校一点也不了解，自己没本事把孩子教育好，就交给这些流氓学校毁了一生，下面就是这所学校的详细资料。                          2012年办学  迫害人员将近一千  非法监禁学生         但是没有证据证明他们殴打学生（场面很血腥，当时那个打得站不起来了，流了很多血，浑身是血，还被逼得围着操场跳了十圈蛙跳，在这里根本不把我们当人看，下面就是这学校的地址。           常德澧县育才实验学校  湖南省常德市澧县车溪镇育才实验学校   欢迎大家一起检举他们，揭露他们的罪行',)","('0.0%',)","('100.0%',)",负向
"('昏睡百年 国人渐已醒睁开眼吧 小心看吧 哪个愿臣虏自认因为畏缩与忍让 人家骄气日盛开口叫吧 高声叫吧 这里是全站皆兵历来强盗要侵入 最终必送命万里防线永不倒 千里口水浪滔滔江山秀丽叠翠峰岭 问我豫章哪像染病冲开血路 挥手上吧 要致力法治中兴岂让法律再遭践踏 个个负起使命万里防线永不倒 千里口水滔滔江山秀丽叠翠峰岭 问我少年哪像染病冲开血路 挥手上吧 要致力少年中兴岂让国法再遭践踏青少年渐已醒-------------分割线-------------现在是2020年1月8号，豫章书院修身教育学院问题依然没有得到解决。只希望我们齐心协力，还青少年的正义。我们相信! 只要我们数万万同胞联合起来!! 胜利必将属于我们!!!(可复制)',)","('11.106%',)","('88.894%',)",负向
"('唉。',)","('0.393%',)","('99.607%',)",负向
"('好有才气',)","('99.622%',)","('0.378%',)",负向
"('只有无能的父母才会把孩子给别人管教',)","('0.126%',)","('99.874%',)",负向
"('其实并不然，因为造成孩子这样的原因有很多，比如环境原因（社会原因就比如留守儿童），教育原因（特别是那些欠发达地区），经济原因（家庭贫困）。有的孩子可能因为受他人蛊惑才会走上不归路，其实父母家庭方面只是客观原因，豫章书院只是抓住这一漏洞从中谋取暴力(这才是根本原因）。没有不能主观臆断，要合理的分析',)","('42.36%',)","('57.64%',)",负向
"('我的首页已经完全没有豫章书院的任何痕迹了，所以回来看看',)","('91.105%',)","('8.895%',)",负向
"('大家都忘了，网络上的批斗没有力度，终究是暂时的',)","('3.961%',)","('96.039%',)",负向
"('吴军豹个人资料：豫章书院创始人、校长吴军豹。时至今日，豫章书院已经停办。但自诩出身书香世家却被村民认为祖辈都是农家子弟的吴军豹，究竟是怎样创办了豫章书院?其路径仍不那么清楚。豫章书院所在的位置属于南昌市青山湖区罗家镇。镇里有一个由吴村、万村等自然村组成的濡溪村，吴军豹就是校舍旁吴村人，家里还有一个哥哥，在书院附近的村里开锁铺。一定要送我上去！',)","('80.336%',)","('19.664%',)",负向
"('AV84013144',)","('81.879%',)","('18.121%',)",负向
"('愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。能做事的做事，能发声的发声。有一分热，发一分光。就令萤火一般，也可以在黑暗里发一点光，不必等候炬火。如若今后没有炬火，你便是唯一的光。―鲁迅愿各位一直如此温柔，一直身上有光[委屈]',)","('87.528%',)","('12.472%',)",负向
